集,utt_id,id,唤醒音频,唤醒文本,识别音频,ground_truth,模型输出,sim,是否拒识,llm_verdict,噪声类型,CER,正确
POS,utt0337_cmd_337,337,pos/kws_337.wav,hi colmo,pos/cmd_337.wav,十一点三十一分,十一.三十一分,0.3114,False,,babble,0.1429,✓
POS,utt0338_cmd_338,338,pos/kws_338.wav,你好科慕,pos/cmd_338.wav,打开空调空调的温度调到二十四最低风速打开窗帘灯的色温调暖一点打开图灵烟机打开图灵烤箱,,0.5734,True,,babble,1.0,✗
POS,utt0339_cmd_339,339,pos/kws_339.wav,你好科慕,pos/cmd_339.wav,把所有灯打开,把所有灯打开,0.446,False,,babble,0.0,✓
POS,utt0340_cmd_340,340,pos/kws_340.wav,hi colmo,pos/cmd_340.wav,用餐模式,用餐模式,0.2763,False,,babble,0.0,✓
POS,utt0341_cmd_341,341,pos/kws_341.wav,hi colmo,pos/cmd_341.wav,色调帮我调成冷色调,射料包吼 才能冷射料,0.3615,False,,babble,1.0,✗
POS,utt0342_cmd_342,342,pos/kws_342.wav,hi colmo,pos/cmd_342.wav,打开抽油烟机,打开抽油烟机,0.3956,False,,babble,0.0,✓
POS,utt0343_cmd_343,343,pos/kws_343.wav,hi colmo,pos/cmd_343.wav,呃我要做饭了,我要做饭了,0.4884,False,,babble,0.1667,✓
POS,utt0344_cmd_344,344,pos/kws_344.wav,hi colmo,pos/cmd_344.wav,音乐关闭,,0.165,True,,babble,1.0,✗
POS,utt0345_cmd_345,345,pos/kws_345.wav,hi colmo,pos/cmd_345.wav,空调二十六摄氏度,空调二十六摄氏度,0.3048,False,,babble,0.0,✓
POS,utt0346_cmd_346,346,pos/kws_346.wav,你好科慕,pos/cmd_346.wav,微蒸烤箱关机,微蒸烤箱关机,0.5087,False,,babble,0.0,✓
POS,utt0347_cmd_347,347,pos/kws_347.wav,你好科慕,pos/cmd_347.wav,关闭全部灯光,关闭全部灯光,0.6202,False,,babble,0.0,✓
POS,utt0348_cmd_348,348,pos/kws_348.wav,hi colmo,pos/cmd_348.wav,打开会客模式,打开会课模式,0.4048,False,,babble,0.1667,✓
POS,utt0349_cmd_349,349,pos/kws_349.wav,你好科慕,pos/cmd_349.wav,呃吃饭了,在那,0.2849,False,,babble,1.0,✗
POS,utt0350_cmd_350,350,pos/kws_350.wav,hi colmo,pos/cmd_350.wav,恢复正常模式,恢复正常模式,0.6935,False,,babble,0.0,✓
POS,utt0351_cmd_351,351,pos/kws_351.wav,你好科慕,pos/cmd_351.wav,关窗帘关空调关灯,关窗帘 关空调 关灯,0.46,False,,babble,0.25,✓
POS,utt0352_cmd_352,352,pos/kws_352.wav,hi colmo,pos/cmd_352.wav,声音调大一点,声音调大一点,0.3946,False,,babble,0.0,✓
POS,utt0353_cmd_353,353,pos/kws_353.wav,hi colmo,pos/cmd_353.wav,打开灶打开烟机,打开燥机,0.3714,False,,babble,0.5714,✗
POS,utt0354_cmd_354,354,pos/kws_354.wav,你好科慕,pos/cmd_354.wav,把舒适专家的灯光亮度调到百分之十,,0.1607,True,,babble,1.0,✗
POS,utt0355_cmd_355,355,pos/kws_355.wav,hi colmo,pos/cmd_355.wav,呃太亮了,呃太亮了,0.6015,False,,pink,0.0,✓
POS,utt0356_cmd_356,356,pos/kws_356.wav,hi colmo,pos/cmd_356.wav,窗帘停下,上面提前,0.3077,False,,babble,1.0,✗
POS,utt0357_cmd_357,357,pos/kws_357.wav,hi colmo,pos/cmd_357.wav,温度调到三十度,温度调到三十度,0.6015,False,,babble,0.0,✓
POS,utt0358_cmd_358,358,pos/kws_358.wav,hi colmo,pos/cmd_358.wav,呃关闭油烟机,关闭有人接,0.4676,False,,babble,0.6667,✗
POS,utt0359_cmd_359,359,pos/kws_359.wav,你好科慕,pos/cmd_359.wav,完全关闭窗帘,完全关闭床脸,0.5438,False,,babble,0.3333,✓
POS,utt0360_cmd_360,360,pos/kws_360.wav,hi colmo,pos/cmd_360.wav,我出门了,我出门呢,0.4113,False,,pink,0.25,✓
POS,utt0361_cmd_361,361,pos/kws_361.wav,hi colmo,pos/cmd_361.wav,拉上窗帘,拉上窗帘,0.2926,False,,babble,0.0,✓
POS,utt0362_cmd_362,362,pos/kws_362.wav,hi colmo,pos/cmd_362.wav,帮我预约十四点洗衣服,帮我预约十四点洗衣服,0.3368,False,,babble,0.0,✓
POS,utt0363_cmd_363,363,pos/kws_363.wav,hi colmo,pos/cmd_363.wav,灯光有点亮,灯光有点亮,0.3424,False,,babble,0.0,✓
POS,utt0364_cmd_2000,2000,pos/kws_2000.wav,小惟小惟,pos/cmd_2000.wav,播放盖世音雄原创音乐,,0.0964,True,,babble,1.0,✗
POS,utt0365_cmd_2001,2001,pos/kws_2001.wav,hi colmo,pos/cmd_2001.wav,给我讲乱世枭雄杜月笙,,0.2076,True,,babble,1.0,✗
POS,utt0366_cmd_2002,2002,pos/kws_2002.wav,你好天天,pos/cmd_2002.wav,开屏幕,谢谢,0.3175,False,,babble,1.0,✗
POS,utt0367_cmd_2003,2003,pos/kws_2003.wav,小甜甜,pos/cmd_2003.wav,打开热风,打开热风,0.2762,False,,white,0.0,✓
POS,utt0368_cmd_2004,2004,pos/kws_2004.wav,小点小点,pos/cmd_2004.wav,关掉智控温,,-0.0047,True,,babble,1.0,✗
POS,utt0369_cmd_2005,2005,pos/kws_2005.wav,你好小天,pos/cmd_2005.wav,空调二十度,,0.1814,True,,babble,1.0,✗
POS,utt0370_cmd_2006,2006,pos/kws_2006.wav,大喜大喜,pos/cmd_2006.wav,开屏幕,,0.221,True,,babble,1.0,✗
POS,utt0371_cmd_2007,2007,pos/kws_2007.wav,小T小T,pos/cmd_2007.wav,风速调最小,分数条最小,0.5165,False,,babble,0.6,✗
POS,utt0372_cmd_2008,2008,pos/kws_2008.wav,大喜大喜,pos/cmd_2008.wav,打开节能模式,,0.1729,True,,pink,1.0,✗
POS,utt0373_cmd_2009,2009,pos/kws_2009.wav,小天才,pos/cmd_2009.wav,低速风,,0.1397,True,,babble,1.0,✗
POS,utt0374_cmd_2010,2010,pos/kws_2010.wav,你好天天,pos/cmd_2010.wav,把空调关闭,,0.0255,True,,pink,1.0,✗
POS,utt0375_cmd_2011,2011,pos/kws_2011.wav,你好天天,pos/cmd_2011.wav,打开左右扫风,打开左右搜狐,0.3199,False,,babble,0.3333,✓
POS,utt0376_cmd_2012,2012,pos/kws_2012.wav,小惟小惟,pos/cmd_2012.wav,锋言疯语我想听,,0.1672,True,,babble,1.0,✗
POS,utt0377_cmd_2013,2013,pos/kws_2013.wav,小惟小惟,pos/cmd_2013.wav,播放十大样板戏精选集,,0.152,True,,babble,1.0,✗
POS,utt0378_cmd_2014,2014,pos/kws_2014.wav,小美小美,pos/cmd_2014.wav,便秘适宜吃什么,,0.0625,True,,babble,1.0,✗
POS,utt0379_cmd_2015,2015,pos/kws_2015.wav,hi colmo,pos/cmd_2015.wav,科技有意思我想听,,-0.0524,True,,babble,1.0,✗
POS,utt0380_cmd_2016,2016,pos/kws_2016.wav,小天才,pos/cmd_2016.wav,打开睡眠模式,打个性能模式,0.3906,False,,babble,0.5,✗
POS,utt0381_cmd_2017,2017,pos/kws_2017.wav,嗨机器人,pos/cmd_2017.wav,空调二十度,,0.2018,True,,babble,1.0,✗
POS,utt0382_cmd_2018,2018,pos/kws_2018.wav,天天同学,pos/cmd_2018.wav,关掉智控温,完全不负责任的,0.4806,False,,babble,1.4,✗
POS,utt0383_cmd_2019,2019,pos/kws_2019.wav,天天同学,pos/cmd_2019.wav,关闭节能模式,,0.2619,True,,pink,1.0,✗
POS,utt0384_cmd_2020,2020,pos/kws_2020.wav,小编小编,pos/cmd_2020.wav,关机空调,关节昆掉,0.2789,False,,babble,0.75,✗
POS,utt0385_cmd_2021,2021,pos/kws_2021.wav,你好小天,pos/cmd_2021.wav,风速自动,,0.2535,True,,babble,1.0,✗
POS,utt0386_cmd_2022,2022,pos/kws_2022.wav,hi colmo,pos/cmd_2022.wav,便秘适宜吃什么,,0.2091,True,,babble,1.0,✗
POS,utt0387_cmd_2023,2023,pos/kws_2023.wav,你好天天,pos/cmd_2023.wav,风速自动,公司之路,0.4844,False,,babble,1.0,✗
POS,utt0388_cmd_2024,2024,pos/kws_2024.wav,小惟小惟,pos/cmd_2024.wav,吃什么有利于儿童,,0.2312,True,,babble,1.0,✗
POS,utt0389_cmd_2025,2025,pos/kws_2025.wav,小惟小惟,pos/cmd_2025.wav,便秘不推荐吃什么食物,便秘不推荐吃什么食物,0.3733,False,,babble,0.0,✓
POS,utt0390_cmd_2026,2026,pos/kws_2026.wav,嗨扫地机,pos/cmd_2026.wav,风量小一点,方便要小一点,0.6161,False,,babble,0.6,✗
POS,utt0391_cmd_2027,2027,pos/kws_2027.wav,小美小美,pos/cmd_2027.wav,吃什么有利于补铁,,0.05,True,,babble,1.0,✗
POS,utt0392_cmd_2028,2028,pos/kws_2028.wav,小双同学,pos/cmd_2028.wav,风向向左,翻前向左,0.2749,False,,babble,0.5,✗
POS,utt0393_cmd_2029,2029,pos/kws_2029.wav,小T小T,pos/cmd_2029.wav,风往中间吹,,0.0104,True,,pink,1.0,✗
POS,utt0394_cmd_2030,2030,pos/kws_2030.wav,小惟小惟,pos/cmd_2030.wav,腹泻要吃什么好,不信又是什么好,0.443,False,,babble,0.5714,✗
POS,utt0395_cmd_2031,2031,pos/kws_2031.wav,你好小天,pos/cmd_2031.wav,风量最小,风量最小,0.4271,False,,babble,0.0,✓
POS,utt0396_cmd_2032,2032,pos/kws_2032.wav,小美小美,pos/cmd_2032.wav,给我放乡村爱情王云,,0.141,True,,pink,1.0,✗
POS,utt0397_cmd_2033,2033,pos/kws_2033.wav,hi colmo,pos/cmd_2033.wav,哺乳期适宜吃什么,哺乳期适宜吃什么,0.3482,False,,babble,0.0,✓
POS,utt0398_cmd_2034,2034,pos/kws_2034.wav,小天同学,pos/cmd_2034.wav,太热了,太热了,0.3987,False,,babble,0.0,✓
POS,utt0399_cmd_2035,2035,pos/kws_2035.wav,小天小天,pos/cmd_2035.wav,请把风摆向右边,,0.2625,True,,babble,1.0,✗
POS,utt0400_cmd_2036,2036,pos/kws_2036.wav,小美小美,pos/cmd_2036.wav,脚气病适宜吃什么,,0.0692,True,,babble,1.0,✗
POS,utt0401_cmd_2037,2037,pos/kws_2037.wav,你好小天,pos/cmd_2037.wav,风速二十,是不是很像,0.2807,False,,babble,1.25,✗
POS,utt0402_cmd_2038,2038,pos/kws_2038.wav,小惟小惟,pos/cmd_2038.wav,儿童适合吃什么,儿童适合吃什么,0.3157,False,,babble,0.0,✓
POS,utt0403_cmd_2039,2039,pos/kws_2039.wav,你好天天,pos/cmd_2039.wav,关闭屏幕,,0.02,True,,babble,1.0,✗
POS,utt0404_cmd_2040,2040,pos/kws_2040.wav,天天同学,pos/cmd_2040.wav,打开屏幕,,0.15,True,,babble,1.0,✗
POS,utt0405_cmd_2041,2041,pos/kws_2041.wav,小天小天,pos/cmd_2041.wav,开启防直吹模式,,0.1394,True,,babble,1.0,✗
POS,utt0406_cmd_2042,2042,pos/kws_2042.wav,小甜甜,pos/cmd_2042.wav,关闭ECO模式,,0.1892,True,,babble,1.0,✗
POS,utt0407_cmd_2043,2043,pos/kws_2043.wav,小甜甜,pos/cmd_2043.wav,关闭显示屏,,0.1413,True,,babble,1.0,✗
POS,utt0408_cmd_2044,2044,pos/kws_2044.wav,小钱小钱,pos/cmd_2044.wav,打开显示屏,,-0.0066,True,,white,1.0,✗
POS,utt0409_cmd_2045,2045,pos/kws_2045.wav,小美小美,pos/cmd_2045.wav,播放吐槽大会,,0.1692,True,,babble,1.0,✗
POS,utt0410_cmd_2046,2046,pos/kws_2046.wav,hi colmo,pos/cmd_2046.wav,更年期要少吃什么,八行期的核还成了,0.3818,False,,babble,0.875,✗
POS,utt0411_cmd_2047,2047,pos/kws_2047.wav,你好天天,pos/cmd_2047.wav,开到二十度,依然居在日本,0.3207,False,,babble,1.2,✗
POS,utt0412_cmd_2048,2048,pos/kws_2048.wav,hi colmo,pos/cmd_2048.wav,播放安养曲,管你去,0.3315,False,,babble,1.0,✗
POS,utt0413_cmd_2049,2049,pos/kws_2049.wav,hi colmo,pos/cmd_2049.wav,便秘不推荐吃什么食物,先生 您说推荐吃什么食物,0.3198,False,,babble,0.5,✗
POS,utt0414_cmd_2050,2050,pos/kws_2050.wav,小点小点,pos/cmd_2050.wav,开开空调,,0.202,True,,white,1.0,✗
POS,utt0415_cmd_2051,2051,pos/kws_2051.wav,hi colmo,pos/cmd_2051.wav,播放卡尔经典绘本音频,,0.1163,True,,babble,1.0,✗
POS,utt0416_cmd_2052,2052,pos/kws_2052.wav,大喜大喜,pos/cmd_2052.wav,温度调到二十七,谢谢温柔,0.453,False,,babble,1.0,✗
POS,utt0417_cmd_2053,2053,pos/kws_2053.wav,小点小点,pos/cmd_2053.wav,关闭节能模式,,0.1841,True,,babble,1.0,✗
POS,utt0418_cmd_2054,2054,pos/kws_2054.wav,嗨机器人,pos/cmd_2054.wav,风速调到百分之八十,,0.1884,True,,babble,1.0,✗
POS,utt0419_cmd_2055,2055,pos/kws_2055.wav,hi colmo,pos/cmd_2055.wav,播放鹅妈妈童谣黄本,,0.2291,True,,babble,1.0,✗
POS,utt0420_cmd_2056,2056,pos/kws_2056.wav,小编小编,pos/cmd_2056.wav,防直吹模式,防止吹摩石,0.3696,False,,babble,0.6,✗
POS,utt0421_cmd_2057,2057,pos/kws_2057.wav,嗨扫地机,pos/cmd_2057.wav,减小风量,全面放开,0.2894,False,,babble,1.0,✗
POS,utt0422_cmd_2058,2058,pos/kws_2058.wav,天天同学,pos/cmd_2058.wav,关掉睡眠,关掉睡眠,0.3467,False,,babble,0.0,✓
POS,utt0423_cmd_2059,2059,pos/kws_2059.wav,你好小天,pos/cmd_2059.wav,风速最小,,0.159,True,,babble,1.0,✗
POS,utt0424_cmd_2060,2060,pos/kws_2060.wav,天天同学,pos/cmd_2060.wav,开启无风模式,,0.4622,True,,babble,1.0,✗
POS,utt0425_cmd_2061,2061,pos/kws_2061.wav,小双同学,pos/cmd_2061.wav,关一下空调,,0.1353,True,,babble,1.0,✗
POS,utt0426_cmd_2062,2062,pos/kws_2062.wav,小美小美,pos/cmd_2062.wav,拆滤网的步骤,,0.2276,True,,babble,1.0,✗
POS,utt0427_cmd_2063,2063,pos/kws_2063.wav,你好小天,pos/cmd_2063.wav,开启智控温,,0.1741,True,,babble,1.0,✗
POS,utt0428_cmd_2064,2064,pos/kws_2064.wav,你好天天,pos/cmd_2064.wav,把温度调到十九度,,0.2322,True,,babble,1.0,✗
POS,utt0429_cmd_2065,2065,pos/kws_2065.wav,小钱小钱,pos/cmd_2065.wav,空调二十度,,0.1525,True,,babble,1.0,✗
POS,utt0430_cmd_2066,2066,pos/kws_2066.wav,小惟小惟,pos/cmd_2066.wav,减肥吃什么有好处,减肥吃什么有好处,0.4814,False,,babble,0.0,✓
POS,utt0431_cmd_2067,2067,pos/kws_2067.wav,小编小编,pos/cmd_2067.wav,开启智清洁,开启至经节,0.4866,False,,babble,0.6,✗
POS,utt0432_cmd_2068,2068,pos/kws_2068.wav,你好小天,pos/cmd_2068.wav,空调十九度,很甜,0.3731,False,,babble,1.0,✗
POS,utt0433_cmd_2069,2069,pos/kws_2069.wav,hi colmo,pos/cmd_2069.wav,播放我爱幼儿园全,,0.1958,True,,babble,1.0,✗
POS,utt0434_cmd_2070,2070,pos/kws_2070.wav,小天小天,pos/cmd_2070.wav,ECO模式,新生业务模式,0.4313,False,,babble,0.8,✗
POS,utt0435_cmd_2071,2071,pos/kws_2071.wav,你好天天,pos/cmd_2071.wav,ECO模式,,0.2625,True,,babble,1.0,✗
POS,utt0436_cmd_2072,2072,pos/kws_2072.wav,小天同学,pos/cmd_2072.wav,开启睡眠模式,,0.2521,True,,white,1.0,✗
POS,utt0437_cmd_2073,2073,pos/kws_2073.wav,大喜大喜,pos/cmd_2073.wav,关掉智控温,,0.1509,True,,white,1.0,✗
POS,utt0438_cmd_2074,2074,pos/kws_2074.wav,hi colmo,pos/cmd_2074.wav,高血压适宜吃什么,,0.2626,True,,babble,1.0,✗
POS,utt0439_cmd_2075,2075,pos/kws_2075.wav,小点小点,pos/cmd_2075.wav,把空调关上,出示微信出付的条件吗,0.4942,False,,babble,2.0,✗
POS,utt0440_cmd_2076,2076,pos/kws_2076.wav,小惟小惟,pos/cmd_2076.wav,防辐射吃什么合适,,0.1411,True,,pink,1.0,✗
POS,utt0441_cmd_2077,2077,pos/kws_2077.wav,你好小天,pos/cmd_2077.wav,出风口设置最上,出方口射至最上,0.2928,False,,babble,0.4286,✓
POS,utt0442_cmd_2078,2078,pos/kws_2078.wav,小天同学,pos/cmd_2078.wav,往中间扫风,只能截留了,0.3124,False,,babble,1.0,✗
POS,utt0443_cmd_2079,2079,pos/kws_2079.wav,小天才,pos/cmd_2079.wav,防直吹,藏着,0.2917,False,,babble,1.0,✗
POS,utt0444_cmd_2080,2080,pos/kws_2080.wav,小惟小惟,pos/cmd_2080.wav,儿童适合吃什么,,0.1295,True,,babble,1.0,✗
POS,utt0445_cmd_2081,2081,pos/kws_2081.wav,小钱小钱,pos/cmd_2081.wav,风速调高,或销售手机的计划,0.3649,False,,babble,2.0,✗
POS,utt0446_cmd_2082,2082,pos/kws_2082.wav,小天才,pos/cmd_2082.wav,关掉睡眠,关掉睡眠,0.3997,False,,babble,0.0,✓
POS,utt0447_cmd_2083,2083,pos/kws_2083.wav,小天同学,pos/cmd_2083.wav,空调送风模式,空跳送房墨斯,0.3966,False,,babble,0.6667,✗
POS,utt0448_cmd_2084,2084,pos/kws_2084.wav,小美小美,pos/cmd_2084.wav,胆固醇高不能吃什么,但不存高不能,0.3424,False,,babble,0.6667,✗
POS,utt0449_cmd_2085,2085,pos/kws_2085.wav,你好小双,pos/cmd_2085.wav,风速调到最小风,放手跳得最小风,0.2896,False,,babble,0.5714,✗
POS,utt0450_cmd_2086,2086,pos/kws_2086.wav,大喜大喜,pos/cmd_2086.wav,关机空调,,0.1938,True,,babble,1.0,✗
POS,utt0451_cmd_2087,2087,pos/kws_2087.wav,大喜大喜,pos/cmd_2087.wav,空调调到送风模式,男一说我的要求不算,0.377,False,,babble,1.125,✗
POS,utt0452_cmd_2088,2088,pos/kws_2088.wav,hi colmo,pos/cmd_2088.wav,播放小球听民乐数字歌,谢谢你的爱,0.3792,False,,babble,1.0,✗
POS,utt0453_cmd_2089,2089,pos/kws_2089.wav,小天才,pos/cmd_2089.wav,开到十六度,,0.0922,True,,babble,1.0,✗
POS,utt0454_cmd_2090,2090,pos/kws_2090.wav,小美小美,pos/cmd_2090.wav,播放童音版唐诗,,0.1006,True,,babble,1.0,✗
POS,utt0455_cmd_2091,2091,pos/kws_2091.wav,小惟小惟,pos/cmd_2091.wav,儿童要少吃什么,,0.0917,True,,babble,1.0,✗
POS,utt0456_cmd_2092,2092,pos/kws_2092.wav,大喜大喜,pos/cmd_2092.wav,启动自动模式,,0.1381,True,,white,1.0,✗
POS,utt0457_cmd_2093,2093,pos/kws_2093.wav,小双同学,pos/cmd_2093.wav,空调十六度,,0.1542,True,,babble,1.0,✗
POS,utt0458_cmd_2094,2094,pos/kws_2094.wav,小T小T,pos/cmd_2094.wav,打开屏幕,,0.1534,True,,babble,1.0,✗
POS,utt0459_cmd_2095,2095,pos/kws_2095.wav,小天小天,pos/cmd_2095.wav,风速开到最大,,0.2433,True,,babble,1.0,✗
POS,utt0460_cmd_2096,2096,pos/kws_2096.wav,你好小双,pos/cmd_2096.wav,风速开到最大,,0.0349,True,,babble,1.0,✗
POS,utt0461_cmd_2097,2097,pos/kws_2097.wav,hi colmo,pos/cmd_2097.wav,吃什么可以补铁,谢谢,0.2852,False,,white,1.0,✗
POS,utt0462_cmd_2098,2098,pos/kws_2098.wav,小天小天,pos/cmd_2098.wav,调到二十八度,,0.0128,True,,babble,1.0,✗
POS,utt0463_cmd_2099,2099,pos/kws_2099.wav,你好小双,pos/cmd_2099.wav,开启自动模式,,0.1417,True,,babble,1.0,✗
POS,utt0464_cmd_2100,2100,pos/kws_2100.wav,小编小编,pos/cmd_2100.wav,风速调到百分之三十,,0.135,True,,babble,1.0,✗
POS,utt0465_cmd_2101,2101,pos/kws_2101.wav,小惟小惟,pos/cmd_2101.wav,感冒不能吃什么食物,反貌不能吃什么食物,0.4747,False,,babble,0.2222,✓
POS,utt0466_cmd_2102,2102,pos/kws_2102.wav,大喜大喜,pos/cmd_2102.wav,关掉智控温,,0.0386,True,,babble,1.0,✗
POS,utt0467_cmd_2103,2103,pos/kws_2103.wav,小美小美,pos/cmd_2103.wav,播放胖哥电影说,,0.2106,True,,babble,1.0,✗
POS,utt0468_cmd_2104,2104,pos/kws_2104.wav,小美小美,pos/cmd_2104.wav,补铁吃什么好,,0.0794,True,,babble,1.0,✗
POS,utt0469_cmd_2105,2105,pos/kws_2105.wav,小惟小惟,pos/cmd_2105.wav,播放乐乐讲故事第三季,播放六月简故事第三季,0.4876,False,,babble,0.3,✓
POS,utt0470_cmd_2106,2106,pos/kws_2106.wav,你好小双,pos/cmd_2106.wav,开启ECO,,0.1277,True,,babble,1.0,✗
POS,utt0471_cmd_2107,2107,pos/kws_2107.wav,小甜甜,pos/cmd_2107.wav,把温度调到二十六度,把温度调到二十六度,0.3592,False,,babble,0.0,✓
POS,utt0472_cmd_2108,2108,pos/kws_2108.wav,小惟小惟,pos/cmd_2108.wav,科技有意思我想听,科技有意识我想听,0.2928,False,,babble,0.125,✓
POS,utt0473_cmd_2109,2109,pos/kws_2109.wav,小惟小惟,pos/cmd_2109.wav,儿童不能吃什么,,0.1624,True,,babble,1.0,✗
POS,utt0474_cmd_2110,2110,pos/kws_2110.wav,大喜大喜,pos/cmd_2110.wav,风速五十,对 风速模式,0.2873,False,,babble,1.0,✗
POS,utt0475_cmd_2111,2111,pos/kws_2111.wav,小点小点,pos/cmd_2111.wav,开启制冷模式,,0.1234,True,,babble,1.0,✗
POS,utt0476_cmd_2112,2112,pos/kws_2112.wav,小天小天,pos/cmd_2112.wav,调到抽湿模式,聊到抽试模式,0.3471,False,,babble,0.3333,✓
POS,utt0477_cmd_2113,2113,pos/kws_2113.wav,嗨机器人,pos/cmd_2113.wav,把温度调到二十一度,培养出这样天才,0.3854,False,,babble,1.0,✗
POS,utt0478_cmd_2114,2114,pos/kws_2114.wav,你好天天,pos/cmd_2114.wav,风速九十,选手,0.2922,False,,babble,1.0,✗
POS,utt0479_cmd_2115,2115,pos/kws_2115.wav,小美小美,pos/cmd_2115.wav,播放鬼畜洗脑神曲,会变得进入2015年,0.4249,False,,babble,1.25,✗
POS,utt0480_cmd_2116,2116,pos/kws_2116.wav,hi colmo,pos/cmd_2116.wav,儿童适合吃什么,对,0.3061,False,,babble,1.0,✗
POS,utt0481_cmd_2117,2117,pos/kws_2117.wav,嗨扫地机,pos/cmd_2117.wav,风量调小,,0.1324,True,,babble,1.0,✗
POS,utt0482_cmd_2118,2118,pos/kws_2118.wav,小惟小惟,pos/cmd_2118.wav,拆滤网的步骤,太欲望了,0.3579,False,,babble,1.0,✗
POS,utt0483_cmd_2119,2119,pos/kws_2119.wav,你好小天,pos/cmd_2119.wav,开到二十一度,开到二十一度,0.325,False,,babble,0.0,✓
POS,utt0484_cmd_2120,2120,pos/kws_2120.wav,小惟小惟,pos/cmd_2120.wav,儿童不能吃什么,,0.2226,True,,babble,1.0,✗
POS,utt0485_cmd_2121,2121,pos/kws_2121.wav,小编小编,pos/cmd_2121.wav,风速调到最大,,0.2359,True,,babble,1.0,✗
POS,utt0486_cmd_2122,2122,pos/kws_2122.wav,小双同学,pos/cmd_2122.wav,风向调到下边,,0.2565,True,,babble,1.0,✗
POS,utt0487_cmd_2123,2123,pos/kws_2123.wav,小美小美,pos/cmd_2123.wav,吃什么适合哺乳期,是什么事我有期,0.3279,False,,babble,0.625,✗
POS,utt0488_cmd_2124,2124,pos/kws_2124.wav,天天同学,pos/cmd_2124.wav,风速一百,首速一百,0.3231,False,,babble,0.25,✓
POS,utt0489_cmd_2125,2125,pos/kws_2125.wav,小惟小惟,pos/cmd_2125.wav,高血脂不适合吃什么,,0.1303,True,,babble,1.0,✗
POS,utt0490_cmd_2126,2126,pos/kws_2126.wav,hi colmo,pos/cmd_2126.wav,吃什么可以补铁,是,0.3093,False,,babble,1.0,✗
POS,utt0491_cmd_2127,2127,pos/kws_2127.wav,小甜甜,pos/cmd_2127.wav,关闭新风模式,,0.2475,True,,babble,1.0,✗
POS,utt0492_cmd_2128,2128,pos/kws_2128.wav,嗨机器人,pos/cmd_2128.wav,风小一点,就是小孩艺人员,0.4306,False,,babble,1.5,✗
POS,utt0493_cmd_2129,2129,pos/kws_2129.wav,小天同学,pos/cmd_2129.wav,开启自动模式,开启制动模式,0.5831,False,,babble,0.1667,✓
POS,utt0494_cmd_2130,2130,pos/kws_2130.wav,你好天天,pos/cmd_2130.wav,开启智控温,开启这空文,0.4575,False,,babble,0.6,✗
POS,utt0495_cmd_2131,2131,pos/kws_2131.wav,小双同学,pos/cmd_2131.wav,开到二十三度,开到二十三度,0.3099,False,,babble,0.0,✓
POS,utt0496_cmd_2132,2132,pos/kws_2132.wav,天天同学,pos/cmd_2132.wav,开启睡眠模式,,0.2665,True,,babble,1.0,✗
POS,utt0497_cmd_2133,2133,pos/kws_2133.wav,嗨扫地机,pos/cmd_2133.wav,把温度调到二十八度,,0.2073,True,,babble,1.0,✗
POS,utt0498_cmd_2134,2134,pos/kws_2134.wav,hi colmo,pos/cmd_2134.wav,出现异常声响,,0.2602,True,,babble,1.0,✗
POS,utt0499_cmd_2135,2135,pos/kws_2135.wav,小惟小惟,pos/cmd_2135.wav,播放女神的贴身高手,,0.2549,True,,babble,1.0,✗
POS,utt0500_cmd_2136,2136,pos/kws_2136.wav,你好天天,pos/cmd_2136.wav,开屏幕,,0.1908,True,,babble,1.0,✗
POS,utt0501_cmd_2137,2137,pos/kws_2137.wav,你好小天,pos/cmd_2137.wav,打开睡眠模式,,0.0043,True,,babble,1.0,✗
POS,utt0502_cmd_2138,2138,pos/kws_2138.wav,小编小编,pos/cmd_2138.wav,空调十六度,空调十六度,0.4829,False,,babble,0.0,✓
POS,utt0503_cmd_2139,2139,pos/kws_2139.wav,小钱小钱,pos/cmd_2139.wav,关闭左右风,关闭左右风,0.3328,False,,babble,0.0,✓
POS,utt0504_cmd_2140,2140,pos/kws_2140.wav,你好小天,pos/cmd_2140.wav,低速风,,0.0613,True,,babble,1.0,✗
POS,utt0505_cmd_2141,2141,pos/kws_2141.wav,小点小点,pos/cmd_2141.wav,把温度调到二十度,把温度调到二十度,0.4272,False,,babble,0.0,✓
POS,utt0506_cmd_2142,2142,pos/kws_2142.wav,小天同学,pos/cmd_2142.wav,空调左右摆风,,0.0343,True,,babble,1.0,✗
POS,utt0507_cmd_2143,2143,pos/kws_2143.wav,小惟小惟,pos/cmd_2143.wav,备孕有什么饮食禁忌,备孕有什么饮食禁忌,0.4915,False,,babble,0.0,✓
POS,utt0508_cmd_2144,2144,pos/kws_2144.wav,小点小点,pos/cmd_2144.wav,风速调到最小,放速调到最小,0.2997,False,,babble,0.1667,✓
POS,utt0509_cmd_2145,2145,pos/kws_2145.wav,小惟小惟,pos/cmd_2145.wav,腹泻适宜吃什么,,0.2169,True,,babble,1.0,✗
POS,utt0510_cmd_2146,2146,pos/kws_2146.wav,hi colmo,pos/cmd_2146.wav,播放巴赫初级钢琴曲,,0.1593,True,,babble,1.0,✗
POS,utt0511_cmd_2147,2147,pos/kws_2147.wav,小天同学,pos/cmd_2147.wav,开启除湿模式,开启厨师模式,0.4543,False,,babble,0.3333,✓
